ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	sum	proportion
Environmental	Aquatic	Marine	Epipelagic	Unclassified	oceanic epipelagic zone biome	-	sea water	ENVO_01000035	-	ENVO_00002149	1016.0	Environmental_Aquatic_Marine_Epipelagic_Unclassified	oceanic epipelagic zone biome_-_sea water	1016.0	1.0
Environmental	Aquatic	Thermal springs	Hot (42-90C)	Microbial mats	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	243.0	Environmental_Aquatic_Thermal springs_Hot (42-90C)_Microbial mats	aquatic biome_hot spring_microbial mat	243.0	1.0
Environmental	Aquatic	Marine	Harbor	Unclassified	marine biome	harbor	sea water	ENVO_00000447	ENVO_00000463	ENVO_00002149	186.0	Environmental_Aquatic_Marine_Harbor_Unclassified	marine biome_harbor_sea water	186.0	1.0
Environmental	Aquatic	Freshwater	Lake	Epilimnion	freshwater lake biome	epilimnion	lake water	ENVO_01000252	ENVO_00002131	ENVO_04000007	167.0	Environmental_Aquatic_Freshwater_Lake_Epilimnion	freshwater lake biome_epilimnion_lake water	167.0	1.0
Environmental	Terrestrial	Floodplain	Soil	Unclassified	terrestrial biome	flood plain	soil	ENVO_00000446	ENVO_00000255	ENVO_00001998	144.0	Environmental_Terrestrial_Floodplain_Soil_Unclassified	terrestrial biome_flood plain_soil	144.0	1.0
Environmental	Aquatic	Freshwater	Wetlands	Soil	estuarine biome	wetland area	soil	ENVO_01000020	ENVO_00000043	ENVO_00001998	112.0	Environmental_Aquatic_Freshwater_Wetlands_Soil	estuarine biome_wetland area_soil	112.0	1.0
Environmental	Aquatic	Marine	Hypoxic zone	Unclassified	marine biome	marine oxygen minimum zone	sea water	ENVO_00000447	ENVO_01000065	ENVO_00002149	110.0	Environmental_Aquatic_Marine_Hypoxic zone_Unclassified	marine biome_marine oxygen minimum zone_sea water	110.0	1.0
Environmental	Aquatic	Marine	Seaweed	Unclassified	marine biome	marine water body	organism	ENVO_00000447	ENVO_00001999	OBI_0100026	90.0	Environmental_Aquatic_Marine_Seaweed_Unclassified	marine biome_marine water body_organism	90.0	1.0
Environmental	Aquatic	Marine	Mesopelagic	Unclassified	oceanic mesopelagic zone biome	marine mesopelagic zone	sea water	ENVO_01000036	ENVO_00000213	ENVO_00002149	88.0	Environmental_Aquatic_Marine_Mesopelagic_Unclassified	oceanic mesopelagic zone biome_marine mesopelagic zone_sea water	88.0	1.0
Environmental	Aquatic	Freshwater	Creek	Unclassified	freshwater biome	bayou	fresh water	ENVO_00000873	ENVO_00000234	ENVO_00002011	79.0	Environmental_Aquatic_Freshwater_Creek_Unclassified	freshwater biome_bayou_fresh water	79.0	1.0
Environmental	Aquatic	Marine	Strait	Unclassified	marine biome	ocean strait	sea water	ENVO_00000447	ENVO_01000651	ENVO_00002149	64.0	Environmental_Aquatic_Marine_Strait_Unclassified	marine biome_ocean strait_sea water	64.0	1.0
Environmental	Aquatic	Freshwater	Lake	Cyanobacterial bloom	freshwater lake biome	-	Cyanobacteria	ENVO_01000252	-	NCBITaxon_1117	58.0	Environmental_Aquatic_Freshwater_Lake_Cyanobacterial bloom	freshwater lake biome_-_Cyanobacteria	58.0	1.0
Environmental	Aquatic	Marine	Fjord	Unclassified	marine biome	fjord	sea water	ENVO_00000447	ENVO_00000039	ENVO_00002149	56.0	Environmental_Aquatic_Marine_Fjord_Unclassified	marine biome_fjord_sea water	56.0	1.0
Host-associated	Plants	Roots	Bulk soil	Unclassified	terrestrial biome	rhizosphere	bulk soil	ENVO_00000446	ENVO_00005801	ENVO_00005802	53.0	Host-associated_Plants_Roots_Bulk soil_Unclassified	terrestrial biome_rhizosphere_bulk soil	53.0	1.0
Environmental	Aquatic	Aquaculture	Shrimp pond	Unclassified	aquatic biome	shrimp pond	pond water	ENVO_00002030	ENVO_01000905	ENVO_00002228	48.0	Environmental_Aquatic_Aquaculture_Shrimp pond_Unclassified	aquatic biome_shrimp pond_pond water	48.0	1.0
Environmental	Terrestrial	Soil	Unclassified	Orchard soil	terrestrial biome	orchard	orchard soil	ENVO_00000446	ENVO_00000115	ENVO_00005772	48.0	Environmental_Terrestrial_Soil_Unclassified_Orchard soil	terrestrial biome_orchard_orchard soil	48.0	1.0
Environmental	Terrestrial	Floodplain	Sediment	Unclassified	-	-	-	-	-	-	36.0	Environmental_Terrestrial_Floodplain_Sediment_Unclassified	-_-_-	36.0	1.0
Environmental	Aquatic	Freshwater	Groundwater	Coalbed water	aquatic biome	coal mine	underground water	ENVO_00002030	ENVO_00002169	ENVO_00005792	33.0	Environmental_Aquatic_Freshwater_Groundwater_Coalbed water	aquatic biome_coal mine_underground water	33.0	1.0
Environmental	Aquatic	Marine	Bathypelagic	Unclassified	oceanic bathypelagic zone biome	marine bathypelagic zone	sea water	ENVO_01000037	ENVO_00000211	ENVO_00002149	29.0	Environmental_Aquatic_Marine_Bathypelagic_Unclassified	oceanic bathypelagic zone biome_marine bathypelagic zone_sea water	29.0	1.0
Environmental	Aquatic	Freshwater	Lake	Anoxic zone	freshwater lake biome	freshwater lake	anoxic water	ENVO_01000252	ENVO_00000021	ENVO_01000173	27.0	Environmental_Aquatic_Freshwater_Lake_Anoxic zone	freshwater lake biome_freshwater lake_anoxic water	27.0	1.0
Environmental	Aquatic	Freshwater	Tap water	Unclassified	freshwater biome	-	tap water	ENVO_00000873	-	ENVO_00003096	26.0	Environmental_Aquatic_Freshwater_Tap water_Unclassified	freshwater biome_-_tap water	26.0	1.0
