id	synonym
gold.vocab:Marine	Marine biome
gold.vocab:River%27s-source/headwaters	headwater
gold.vocab:Tropical-rainforest	Tropical rainforest biome
gold.vocab:Anoxic-zone	Anoxic water
gold.vocab:Hot-%2842-90C%29	Hot
gold.vocab:Hadalpelagic	Hadalpelagic biome
gold.vocab:Salt-crystallizer-ponds	Salt crystallizer ponds
gold.vocab:Terrestrial	Terrestrial biome
gold.vocab:Ice-accretions	Ice accretion
gold.vocab:Near-boiling-%28%3E90C%29	Near-boiling
gold.vocab:Abyssal-plane	abyssal plain
gold.vocab:Coastal	Coast
gold.vocab:Lotic	Lotic water body
gold.vocab:Mangrove-soil	Mangrove soil
gold.vocab:Aquatic	Aquatic biome
gold.vocab:Cyanobacterial-bloom	Cyanobacterial bloom
gold.vocab:Marine-lake	Marine lake biome
gold.vocab:Abyssopelagic	oceanic abyssopelagic zone biome
gold.vocab:Hypoxic-zone	Hypoxic water
gold.vocab:Bathypelagic	marine bathypelagic zone
gold.vocab:Pelagic	marine pelagic zone
gold.vocab:Lentic	lentic water body
gold.vocab:Mesopelagic	marine mesopelagic zone
gold.vocab:Volcanic	Volcano
gold.vocab:Neritic-zone	marine neritic zone
gold.vocab:Epipelagic	oceanic epipelagic zone biome
gold.vocab:Benthic	marine benthic biome
gold.vocab:Tepid-%2825-34C%29	Tepid
gold.vocab:Warm-%2834-42C%29	Warm
gold.vocab:Limnetic-zone	Limnetic zone
gold.vocab:Hypersaline	Hypersaline water
gold.vocab:Industrial-waste	industrial waste material
gold.vocab:Forest	forest biome
gold.vocab:Beef	beef food product
gold.vocab:Acid-mine-drainage-material	acid mine drainage
gold.vocab:Artificial-ecosystem	vivarium
gold.vocab:Wastewater	waste water
gold.vocab:Puddle	puddle of water
gold.vocab:River%27s-source/headwaters	headwater
gold.vocab:Phytoplankton-bloom	algal bloom
gold.vocab:gulf	inlet
gold.vocab:Oil-contaminated	oil spill
gold.vocab:Oceanic	ocean
gold.vocab:Plankton	planktonic material
gold.vocab:Shale-carbon-reservoir	oil shale
gold.vocab:Rock-dwelling-%28endoliths%29	endolithic environment
gold.vocab:Thermokarst-pond	thermokarst
gold.vocab:Lymphatic	lymphatic system
gold.vocab:Lymph nodes	lymph node
gold.vocab:Duodenal	duodenum
gold.vocab:Fecal	feces
gold.vocab:Fecal	faeces
gold.vocab:Solar-panel	solar panel array
gold.vocab:Floor	building floor
gold.vocab:International-space-station	space station
gold.vocab:Galls	plant gall
gold.vocab:Nasopharyngeal	nasopharynx
gold.vocab:Laryngopharyngeal	laryngoopharynx
gold.vocab:Larvae	larva
gold.vocab:Nephridia	nephridium
gold.vocab:Thoracic-segments	insect thoracic segment
gold.vocab:Oral-fluid	oral cavity
gold.vocab:Engineered	human construction
gold.vocab:Pulp-and-paper-wastewater	pulp-bleaching waste water
gold.vocab:Paddy-field/soil	paddy field soil
gold.vocab:Manure-fertilized	manure
gold.vocab:Phylloplane	aboveground part of plant
gold.vocab:Phyllosphere	above-ground surfaces of plant
gold.vocab:Anthosphere	flower
gold.vocab:Carposphere	fruit
gold.vocab:Caulosphere	stem
gold.vocab:Macrophyte	aquatic plant
gold.vocab:Phylloplane/Leaf surface	leaf suface
gold.vocab:Phylloplane/Leaf surface	leaf epidermis
gold.vocab:Macrophytes	plant in water
gold.vocab:Peat-moss	Sphagnum
gold.vocab:Larvae	larva
gold.vocab:Sea-cucumber	Holothuroidea
gold.vocab:coral	Anthozoa
gold.vocab:Surface	anatomical surface
gold.vocab:Gymnolaemates	Gymnolaemata
gold.vocab:Ascidians	Ascidiacea
gold.vocab:Nasopharyngeal	nasopharynx
gold.vocab:Slime	mucus
gold.vocab:Attached/Keratinized-gingiva	gingiva
gold.vocab:retroauricular-crease	retroauricular region
gold.vocab:Indoor-Air	room
gold.vocab:Outdoor-Air	atmosphere
gold.vocab:Marine-basin-floor	ocean basin
gold.vocab:International-space-station	space station
gold.vocab:Medial-distal-leg	hindlimb
gold.vocab:Cryoconite	cryoconite deposit
gold.vocab:River_27s-source/headwaters	headwater
gold.vocab:Tubeworm-bush	Riftia pachyptila
gold.vocab:Gulf	coastal inlet
gold.vocab:Fermented-vegetables	fermented vegetable food product
gold.vocab:Fermented-seafood	fermented fish or seafood food product
gold.vocab:Kidneys	kidney
gold.vocab:Laryngopharyngeal	hypopharynx
gold.vocab:Composting	compost
gold.vocab:Water-treatment-plant	wastewater treatment plant
gold.vocab:Acid-mine-drainage-material	acid mine drainage
gold.vocab:Drinking-water-filter	water filter
gold.vocab:Petroleum-sludge	oil sludge
gold.vocab:Ear-discharge	cerumen
