id,label,level,parent,mixs_extension,env_broad,env_local,env_medium,host_taxon,anatomical_site,other,interpretation
ID,LABEL,A oboInOwl:inSubset,C %,C RO:0001000 some %,C RO:0001025 some %,C RO:0002507 some %,C RO:0002219 some %,C RO:0002162 some %,C BFO:0000050 some %,C RO:0002321 some %,CLASS_TYPE
GOLDTERMS:4292,Engineered,1,,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,,equivalent
GOLDTERMS:Engineered-Artificial-ecosystem,Engineered > Artificial ecosystem,2,GOLDTERMS:4292,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00010622,equivalent
GOLDTERMS:4845,Engineered > Artificial ecosystem > Mud microcosm,3,GOLDTERMS:Engineered-Artificial-ecosystem,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00010622,subclass
GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber,Engineered > Artificial ecosystem > Plant growth chamber,3,GOLDTERMS:Engineered-Artificial-ecosystem,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00010622,subclass
GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber-Defined-media,Engineered > Artificial ecosystem > Plant growth chamber > Defined media,4,GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00010622,subclass
GOLDTERMS:5553,Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Bulk soil,5,GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber-Defined-media,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,ENVO:00005802,,,ENVO:00010622,subclass
GOLDTERMS:5552,Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Enriched plant cells,5,GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber-Defined-media,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00010622,subclass
GOLDTERMS:5568,Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Rhizosphere,5,GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber-Defined-media,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,ENVO:00005801,,,,ENVO:00010622,subclass
GOLDTERMS:5554,Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Soil (non-planted),5,GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber-Defined-media,MIXS:Soil,ENVO:01000313,,,,,ENVO:00010622,subclass
GOLDTERMS:5849,Engineered > Artificial ecosystem > Soil microcosm,3,GOLDTERMS:Engineered-Artificial-ecosystem,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,,,,,ENVO:00010622,subclass
GOLDTERMS:4280,Engineered > Bioreactor,2,GOLDTERMS:4292,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002123,equivalent
GOLDTERMS:4536,Engineered > Bioreactor > Aerobic,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002126,equivalent
GOLDTERMS:5471,Engineered > Bioreactor > Aerobic > Activated sludge,4,GOLDTERMS:4536,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002126,subclass
GOLDTERMS:5473,Engineered > Bioreactor > Aerobic > Biofilm,4,GOLDTERMS:4536,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002034,equivalent
GOLDTERMS:5830,Engineered > Bioreactor > Aerobic > Sludge,4,GOLDTERMS:4536,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002044,,,ENVO:00002126,equivalent
GOLDTERMS:4442,Engineered > Bioreactor > Anaerobic,3,GOLDTERMS:4280,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,equivalent
GOLDTERMS:5557,Engineered > Bioreactor > Anaerobic > Acid mine drainage material,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,subclass
GOLDTERMS:5475,Engineered > Bioreactor > Anaerobic > Activated sludge,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,subclass
GOLDTERMS:5566,Engineered > Bioreactor > Anaerobic > Biogas,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:01000556,,,ENVO:00002124,equivalent
GOLDTERMS:5583,Engineered > Bioreactor > Anaerobic > Digestate,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,subclass
GOLDTERMS:4912,Engineered > Bioreactor > Anaerobic > Food waste,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:03600006,,,ENVO:00002124,equivalent
GOLDTERMS:5669,Engineered > Bioreactor > Anaerobic > Leachate,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:00002141,,,ENVO:00002124,equivalent
GOLDTERMS:4914,Engineered > Bioreactor > Anaerobic > Manure,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:03501300,,,ENVO:00002124,equivalent
GOLDTERMS:5591,Engineered > Bioreactor > Anaerobic > Manure > Composting,5,GOLDTERMS:4914,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,ENVO:03501300,,,ENVO:00002124,subclass
GOLDTERMS:5639,Engineered > Bioreactor > Anaerobic > Reservoir sediment inoculum,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,subclass
GOLDTERMS:5608,Engineered > Bioreactor > Anaerobic > Settled granule,4,GOLDTERMS:4442,MIXS:MiscellaneousNaturalOrArtificialEnvironment,ENVO:01000313,OBI:0001046,,,,ENVO:00002124,subclass
