subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
gold.vocab:Forest	Forest	gold.path:Environmental	owl:equivalentClass	ENVO:00000111	forested area	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.4482454769402857	rdfs:label	oio:hasRelatedSynonym	forest	.
gold.vocab:Vegetable	Vegetable	gold.path:Engineered	owl:equivalentClass	FOODON:00003816	vegetable (whole)	entity	Lexical	gold.vocab	FOODON	rdf_matcher	0.7646974474473456	rdfs:label	oio:hasExactSynonym	vegetable	.
gold.vocab:Neritic-zone	Neritic zone	gold.path:Environmental	owl:equivalentClass	ENVO:00000206	marine neritic zone	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.8666725756683418	oio:hasExactSynonym	rdfs:label	marine neritic zone	.
gold.vocab:Palsa	Palsa	gold.path:Environmental	owl:equivalentClass	ENVO:00000489	palsa	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.8818975235008119	rdfs:label	rdfs:label	palsa	.
gold.vocab:Vadose-zone	Vadose zone	gold.path:Environmental	owl:equivalentClass	ENVO:00000328	vadose zone	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.8819180938710862	rdfs:label	rdfs:label	vadose zone	.
gold.vocab:Primate	Primate	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:9443	Primates	ncbi_taxonomy	Lexical	gold.vocab	NCBITaxon	rdf_matcher	0.9285757762950954	rdfs:label	oio:hasExactSynonym	primate	.
gold.vocab:Black-smokers	Black smokers	gold.path:Environmental	owl:equivalentClass	ENVO:00000218	black smoker	ENVO	Lexical|Stemming	gold.vocab	ENVO	rdf_matcher	0.8407978320270983	rdfs:label	rdfs:label	black smok	.
gold.vocab:Industrial-waste	Industrial waste	gold.path:Engineered	owl:equivalentClass	ENVO:00002267	industrial waste material	ENVO	Lexical	gold.vocab	ENVO	rdf_matcher	0.4482526106916205	rdfs:label	oio:hasBroadSynonym	industrial waste	.
gold.vocab:Activated-sludge	Activated sludge	gold.path:Engineered	owl:equivalentClass	ENVO:00002046	activated sludge	ENVO	Lexical	gold.vocab	ENVO	rdf_matcher	0.7886917991082715	rdfs:label	rdfs:label	activated sludge	.
gold.vocab:Household-waste	Household waste	gold.path:Engineered	owl:equivalentClass	ENVO:01000372	household waste material	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.4482144025360609	rdfs:label	oio:hasBroadSynonym	household waste	.
gold.vocab:Marginal-Sea	Marginal Sea	gold.path:Environmental	owl:equivalentClass	ENVO:00000016	sea	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.619023973758482	rdfs:label	oio:hasNarrowSynonym	marginal sea	.
gold.vocab:Hoof	Hoof	gold.path:Host-associated	owl:equivalentClass	UBERON:0008963	hoof	uberon	Lexical	gold.vocab	UBERON	rdf_matcher	0.9372470313297396	rdfs:label	rdfs:label	hoof	.
gold.vocab:Wetlands	Wetlands	gold.path:Environmental	owl:equivalentClass	ENVO:01001209	wetland ecosystem	entity	Lexical|Stemming	gold.vocab	ENVO	rdf_matcher	0.8213493736301232	rdfs:label	oio:hasExactSynonym	wetland	.
gold.vocab:Haptophytes	Haptophytes	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:2830	Haptophyta	ncbi_taxonomy	Lexical	gold.vocab	NCBITaxon	rdf_matcher	0.8667295154612538	rdfs:label	oio:hasRelatedSynonym	haptophytes	.
gold.vocab:Air	Air	gold.path:Engineered	owl:equivalentClass	ENVO:00002005	air	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.6511535162325862	rdfs:label	rdfs:label	air	.
gold.vocab:Grasshopper	Grasshopper	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:7001	Caelifera	ncbi_taxonomy	Lexical|Stemming	gold.vocab	NCBITaxon	rdf_matcher	0.8212917259564364	rdfs:label	oio:hasRelatedSynonym	grasshopp	.
gold.vocab:Wastewater	Wastewater	gold.path:Engineered	owl:equivalentClass	ENVO:00002001	waste water	ENVO	Lexical|Flattening	gold.vocab	ENVO	rdf_matcher	0.568968159532625	rdfs:label	rdfs:label	wastewater	.
gold.vocab:Copepoda	Copepoda	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:6830	Copepoda	ncbi_taxonomy	Lexical	gold.vocab	NCBITaxon	rdf_matcher	0.9372315514617274	rdfs:label	rdfs:label	copepoda	.
gold.vocab:Moth	Moth	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:7088	Lepidoptera	ncbi_taxonomy	Lexical|Stemming	gold.vocab	NCBITaxon	rdf_matcher	0.9019001563196926	rdfs:label	oio:hasExactSynonym	moth	.
gold.vocab:Saprolite	Saprolite	gold.path:Environmental	owl:equivalentClass	ENVO:03600016	saprolite	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.8819234839123042	rdfs:label	rdfs:label	saprolite	.
gold.vocab:Crustacea	Crustacea	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:6657	Crustacea	ncbi_taxonomy	Lexical	gold.vocab	NCBITaxon	rdf_matcher	0.937298131714052	rdfs:label	rdfs:label	crustacea	.
gold.vocab:Activated-Sludge	Activated Sludge	gold.path:Engineered	owl:equivalentClass	ENVO:00002046	activated sludge	ENVO	Lexical	gold.vocab	ENVO	rdf_matcher	0.7887183241750647	rdfs:label	rdfs:label	activated sludge	.
gold.vocab:Aerobic	Aerobic	gold.path:Engineered	owl:equivalentClass	PATO:0001455	aerobic	quality	Lexical	gold.vocab	PATO	rdf_matcher	0.7887623258728079	rdfs:label	rdfs:label	aerobic	.
gold.vocab:Coastal	Coastal	gold.path:Environmental	owl:equivalentClass	ENVO:01000687	coast	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.8667297149872614	oio:hasExactSynonym	rdfs:label	coast	.
gold.vocab:Dairy-products	Dairy products	gold.path:Engineered	owl:equivalentClass	FOODON:00001256	dairy food product	entity	Lexical|Stemming	gold.vocab	FOODON	rdf_matcher	0.6967508420095433	rdfs:label	oio:hasExactSynonym	dairy product	.
gold.vocab:Sea-Star	Sea Star	gold.path:Host-associated	owl:equivalentClass	NCBITaxon:7588	Asteroidea	ncbi_taxonomy	Lexical|Stemming	gold.vocab	NCBITaxon	rdf_matcher	0.90191627844085	rdfs:label	oio:hasExactSynonym	sea star	.
gold.vocab:WWTP	WWTP	gold.path:Engineered	owl:equivalentClass	ENVO:00002272	waste treatment plant	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.7647330925933847	rdfs:label	oio:hasExactSynonym	wwtp	.
gold.vocab:Gingival-sulcus	Gingival sulcus	gold.path:Host-associated	owl:equivalentClass	UBERON:0008805	gingival groove	uberon	Lexical	gold.vocab	UBERON	rdf_matcher	0.9286149407432972	rdfs:label	oio:hasExactSynonym	gingival sulcus	.
gold.vocab:Fermented-beverages	Fermented beverages	gold.path:Engineered	owl:equivalentClass	FOODON:00001094	fermented beverage	entity	Lexical|Stemming	gold.vocab	FOODON	rdf_matcher	0.7252919409800909	rdfs:label	rdfs:label	fermented beverag	.
gold.vocab:Sludge	Sludge	gold.path:Engineered	owl:equivalentClass	ENVO:00002044	sludge	entity	Lexical	gold.vocab	ENVO	rdf_matcher	0.7887517468453045	rdfs:label	rdfs:label	sludge	.
