subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDTERMS:3965	Environmental > Aquatic > Aquaculture	skos:broadMatch	ENVO:03600074	aquaculture farm	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasBroadSynonym	aquaculture
GOLDTERMS:3976	Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Thalassic	skos:exactMatch	ENVO:01001667	thalassic	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	thalassic
GOLDTERMS:4000	Environmental > Aquatic > Marine > Fossil > Whale fall	skos:exactMatch	ENVO:01000140	whale fall	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	whale fall
GOLDTERMS:4012	Environmental > Aquatic > Marine > Intertidal zone > Salt marsh	skos:closeMatch	ENVO:00000054	saline marsh	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	salt marsh
GOLDTERMS:4012	Environmental > Aquatic > Marine > Intertidal zone > Salt marsh	skos:exactMatch	ENVO:00000054	saline marsh	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	salt marsh
GOLDTERMS:4013	Environmental > Aquatic > Marine > Intertidal zone	skos:closeMatch	ENVO:01000410	marine eulittoral zone	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	intertidal zone
GOLDTERMS:4013	Environmental > Aquatic > Marine > Intertidal zone	skos:exactMatch	ENVO:00000316	intertidal zone	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	intertidal zone
GOLDTERMS:4014	Environmental > Aquatic > Marine > Intertidal zone > Coral reef	skos:exactMatch	ENVO:00000150	coral reef	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	coral reef
GOLDTERMS:4015	Environmental > Aquatic > Marine > Intertidal zone > Estuary	skos:exactMatch	ENVO:00000045	estuary	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	estuary
GOLDTERMS:4017	Environmental > Aquatic > Marine > Intertidal zone > Beach	skos:closeMatch	ENVO:00000091	beach	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	beach
GOLDTERMS:4017	Environmental > Aquatic > Marine > Intertidal zone > Beach	skos:exactMatch	ENVO:00000091	beach	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	beach
GOLDTERMS:4017	Environmental > Aquatic > Marine > Intertidal zone > Beach	skos:exactMatch	ENVO:00000091	beach	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	beach
GOLDTERMS:4018	Environmental > Aquatic > Marine > Intertidal zone > Mangrove swamp	skos:exactMatch	ENVO:00000057	mangrove swamp	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	mangrove swamp
GOLDTERMS:4032	Environmental > Aquatic > Marine > Marginal Sea	skos:narrowMatch	ENVO:00000016	sea	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasNarrowSynonym	marginal sea
GOLDTERMS:4060	Environmental > Aquatic > Freshwater > Ice > Glacial lake	skos:exactMatch	ENVO:00000488	glacial lake	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	glacial lake
GOLDTERMS:4061	Environmental > Aquatic > Freshwater > Ice	skos:closeMatch	ENVO:01000277	water ice	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	ice
GOLDTERMS:4061	Environmental > Aquatic > Freshwater > Ice	skos:closeMatch	ENVO:01001126	astrogeological ice	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	ice
