subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDTERMS:3957	Host-associated > Algae	skos:closeMatch	FOODON:03411301	algae	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	algae
GOLDTERMS:3959	Host-associated > Algae > Red algae	skos:closeMatch	FOODON:03411743	red algae	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	red algae
GOLDTERMS:3960	Host-associated > Algae > Brown Algae	skos:closeMatch	FOODON:03412395	brown algae	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	brown algae
GOLDTERMS:4095	Host-associated > Fish	skos:closeMatch	FOODON:03411222	fish	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	fish
GOLDTERMS:4250	Engineered > Food production	skos:closeMatch	FOODON:03530206	food production	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	food production
GOLDTERMS:4324	Host-associated > Mollusca	skos:closeMatch	FOODON:03412112	mollusc	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mollusca
GOLDTERMS:4412	Host-associated > Fungi > Lichen	skos:closeMatch	FOODON:03412345	lichen	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	lichen
GOLDTERMS:4476	Host-associated > Horse	skos:closeMatch	FOODON:03411229	horse	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	horse
GOLDTERMS:4603	Host-associated > Arthropoda > Beetle	skos:closeMatch	FOODON:03414645	beetle	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	beetle
GOLDTERMS:4686	Environmental > Aquatic > Marine > Seaweed	skos:closeMatch	FOODON:03412266	seaweed	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	seaweed
GOLDTERMS:4760	Host-associated > Algae > Green algae	skos:closeMatch	FOODON:03412502	green algae	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	green algae
