subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDTERMS:3901	Host-associated > Arthropoda	skos:exactMatch	NCBITaxon:6656	Arthropoda	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	arthropoda
GOLDTERMS:3906	Host-associated > Reptilia	skos:closeMatch	NCBITaxon:1294634	Crocodylia	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	reptilia
GOLDTERMS:3906	Host-associated > Reptilia	skos:closeMatch	NCBITaxon:8459	Testudines	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	reptilia
GOLDTERMS:3906	Host-associated > Reptilia	skos:closeMatch	NCBITaxon:8504	Lepidosauria	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	reptilia
GOLDTERMS:3938	Host-associated > Plants	skos:exactMatch	NCBITaxon:3193	Embryophyta	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	plants
GOLDTERMS:3959	Host-associated > Algae > Red algae	skos:exactMatch	NCBITaxon:2763	Rhodophyta	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	red algae
GOLDTERMS:3960	Host-associated > Algae > Brown Algae	skos:exactMatch	NCBITaxon:2870	Phaeophyceae	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	brown algae
GOLDTERMS:4084	Host-associated > Amphibia	skos:exactMatch	NCBITaxon:8292	Amphibia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	amphibia
GOLDTERMS:4089	Host-associated > Invertebrates > Echinodermata > Sea Urchin	skos:exactMatch	NCBITaxon:7625	Echinoidea	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	sea urchin
GOLDTERMS:4118	Host-associated > Mammals	skos:exactMatch	NCBITaxon:40674	Mammalia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mammals
GOLDTERMS:4138	Host-associated > Human	skos:exactMatch	NCBITaxon:9606	Homo sapiens	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	human
GOLDTERMS:4154	Host-associated > Birds	skos:exactMatch	NCBITaxon:8782	Aves	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	birds
