#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-06-14"
#curie_map:
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PO: "http://purl.obolibrary.org/obo/PO_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  gold.path: "https://w3id.org/gold.path/"
#  gold.vocab: "https://w3id.org/gold.vocab/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#  schema: "http://schema.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  xsd: "http://www.w3.org/2001/XMLSchema#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
gold.vocab:Mire	Mire	owl:equivalentClass	ENVO:00000044	peatland	Lexical	gold.vocab	ENVO	rdf_matcher	0.44820048133989093	rdfs:label	oio:hasRelatedSynonym	gold.path:Environmental	entity	mire	many_to_many	.
gold.vocab:Mire	Mire	owl:equivalentClass	ENVO:01001209	wetland ecosystem	Lexical	gold.vocab	ENVO	rdf_matcher	0.6189757386701197	rdfs:label	oio:hasNarrowSynonym	gold.path:Environmental	entity	mire	many_to_many	.
gold.vocab:Mire	Mire	owl:equivalentClass	ENVO:00000044	peatland	Lexical|Stemming	gold.vocab	ENVO	rdf_matcher	0.36481689431254416	rdfs:label	oio:hasRelatedSynonym	gold.path:Environmental	entity	mire	many_to_many	.
gold.vocab:Mire	Mire	owl:equivalentClass	ENVO:01001209	wetland ecosystem	Lexical|Stemming	gold.vocab	ENVO	rdf_matcher	0.5346019613807635	rdfs:label	oio:hasNarrowSynonym	gold.path:Environmental	entity	mire	many_to_many	.
gold.vocab:Mire	Mire	owl:equivalentClass	ENVO:00000044	peatland	Lexical|Flattening	gold.vocab	ENVO	rdf_matcher	0.22310461320426228	rdfs:label	oio:hasRelatedSynonym	gold.path:Environmental	entity	mire	many_to_many	.
gold.vocab:Mire	Mire	owl:equivalentClass	ENVO:01001209	wetland ecosystem	Lexical|Flattening	gold.vocab	ENVO	rdf_matcher	0.36481689431254416	rdfs:label	oio:hasNarrowSynonym	gold.path:Environmental	entity	mire	many_to_many	.
gold.vocab:Skeletal-system	Skeletal system	owl:equivalentClass	UBERON:0001434	skeletal system	Lexical	gold.vocab	UBERON	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	gold.path:Host-associated	uberon	skeletal system	unique	.
gold.vocab:Skeletal-system	Skeletal system	owl:equivalentClass	UBERON:0001434	skeletal system	Lexical|Stemming	gold.vocab	UBERON	rdf_matcher	0.9134653406410783	rdfs:label	rdfs:label	gold.path:Host-associated	uberon	skeletal system	unique	.
gold.vocab:Skeletal-system	Skeletal system	owl:equivalentClass	UBERON:0001434	skeletal system	Lexical|Flattening	gold.vocab	UBERON	rdf_matcher	0.8407144059077158	rdfs:label	rdfs:label	gold.path:Host-associated	uberon	skeletalsystem	unique	.
gold.vocab:Stomach	Stomach	owl:equivalentClass	UBERON:0000945	stomach	Lexical	gold.vocab	UBERON	rdf_matcher	0.9372195592398013	rdfs:label	rdfs:label	gold.path:Host-associated	uberon	stomach	unique	.
