subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDTERMS:3943	Host-associated > Plants > Rhizome	skos:exactMatch	PO:0004542	rhizome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	rhizome
GOLDTERMS:4401	Engineered > Built environment > Canal	owl:differentFrom	PO:0025132	canal	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	canal
GOLDTERMS:5269	Host-associated > Plants > Phyllosphere > Leaf	skos:exactMatch	PO:0025034	leaf	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	leaf
GOLDTERMS:5277	Host-associated > Plants > Plant callus	skos:exactMatch	PO:0005052	plant callus	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	plant callus
GOLDTERMS:5320	Host-associated > Plants > Phyllosphere > Petiole	skos:exactMatch	PO:0020038	petiole	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	petiole
GOLDTERMS:5416	Host-associated > Plants > Rhizome > Bulb	skos:exactMatch	PO:0025356	bulb	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	bulb
GOLDTERMS:5796	Host-associated > Plants > Rhizoid	skos:exactMatch	PO:0030078	rhizoid	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	rhizoid
GOLDVOCAB:Bark	Bark	skos:exactMatch	PO:0004518	bark	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bark
GOLDVOCAB:Bulb	Bulb	skos:exactMatch	PO:0025356	bulb	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bulb
GOLDVOCAB:Canal	Canal	owl:differentFrom	PO:0025132	canal	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	canal
GOLDVOCAB:Leaf	Leaf	skos:exactMatch	PO:0025034	leaf	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	leaf
GOLDVOCAB:Petiole	Petiole	skos:exactMatch	PO:0020038	petiole	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	petiole
GOLDVOCAB:Plant-callus	Plant callus	skos:exactMatch	PO:0005052	plant callus	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	plant callus
GOLDVOCAB:Pollen	Pollen	skos:exactMatch	PO:0025281	pollen	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	pollen
GOLDVOCAB:Rhizoid	Rhizoid	skos:exactMatch	PO:0030078	rhizoid	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	rhizoid
GOLDVOCAB:Rhizome	Rhizome	skos:exactMatch	PO:0004542	rhizome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	rhizome
GOLDTERMS:4466	Host-associated > Plants > Roots	skos:exactMatch	PO:0009005	root	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	root	semapv:RegularExpressionReplacement	
GOLDTERMS:4572	Host-associated > Plants > Seeds	skos:exactMatch	PO:0009010	seed	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	seed	semapv:RegularExpressionReplacement	
GOLDTERMS:5270	Host-associated > Plants > Phyllosphere > Leaf > Xylem vessels	skos:exactMatch	PO:0025417	xylem vessel	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	xylem vessel	semapv:RegularExpressionReplacement	
GOLDTERMS:5740	Host-associated > Plants > Phyllosphere > Cob	skos:exactMatch	PO:0025623	ear infructescence axis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cob		semapv:RegularExpressionReplacement
GOLDVOCAB:Nodule	Nodule	skos:broadMatch	PO:0003023	root nodule	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	nodule		semapv:RegularExpressionReplacement
GOLDVOCAB:Roots	Roots	skos:exactMatch	PO:0009005	root	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	root	semapv:RegularExpressionReplacement	
GOLDVOCAB:Seeds	Seeds	skos:exactMatch	PO:0009010	seed	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	seed	semapv:RegularExpressionReplacement	
GOLDVOCAB:Wood	Wood	skos:exactMatch	PO:0005848	secondary xylem	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	wood		semapv:RegularExpressionReplacement
GOLDVOCAB:Xylem-vessels	Xylem vessels	skos:exactMatch	PO:0025417	xylem vessel	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	xylem vessel	semapv:RegularExpressionReplacement	
GOLDTERMS:4523	Host-associated > Plants > Roots > Nodule	skos:exactMatch	PO:0003023	root nodule	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	nodule root	semapv:RegularExpressionReplacement
