subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDTERMS:3911	Host-associated > Human > Digestive system > Oral cavity > tongue dorsum	skos:exactMatch	UBERON:0009471	dorsum of tongue	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	tongue dorsum
GOLDTERMS:3913	Host-associated > Human > Digestive system > Oral cavity > Subgingival plaque	skos:exactMatch	UBERON:0016484	subgingival dental plaque	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	subgingival plaque
GOLDTERMS:3916	Host-associated > Human > Digestive system > Oral cavity > Supragingival plaque	skos:exactMatch	UBERON:0016485	supragingival dental plaque	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	supragingival plaque
GOLDTERMS:3918	Host-associated > Human > Digestive system > Oral cavity > Hard palate	skos:exactMatch	UBERON:0003216	hard palate	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	hard palate
GOLDTERMS:3921	Host-associated > Human > Digestive system > Large intestine > Sigmoid colon	skos:exactMatch	UBERON:0001159	sigmoid colon	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	sigmoid colon
GOLDTERMS:3925	Host-associated > Human > Skin > Umbilicus	skos:exactMatch	UBERON:0007118	umbilicus	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	umbilicus
GOLDTERMS:3926	Host-associated > Human > Skin > Axilla	skos:exactMatch	UBERON:0009472	axilla	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	axilla
GOLDTERMS:3929	Host-associated > Human > Skin > Naris	skos:exactMatch	UBERON:0005928	external naris	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasBroadSynonym	naris
GOLDTERMS:4121	Host-associated > Mammals > Respiratory system > Nasopharyngeal > Nasal cavity	skos:exactMatch	UBERON:0001707	nasal cavity	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	nasal cavity
GOLDTERMS:4130	Host-associated > Human > Respiratory system > Nasopharyngeal > anterior nares	skos:exactMatch	UBERON:0005928	external naris	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	anterior nares
GOLDTERMS:4132	Host-associated > Human > Respiratory system > Nasopharyngeal > Pharynx	skos:exactMatch	UBERON:0006562	pharynx	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	pharynx
GOLDTERMS:4141	Host-associated > Human > Reproductive system > Vagina > Introitus	skos:exactMatch	UBERON:0012317	vagina orifice	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	introitus
GOLDTERMS:4142	Host-associated > Human > Reproductive system > Vagina > posterior fornix	skos:exactMatch	UBERON:0016486	posterior fornix of vagina	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasBroadSynonym	posterior fornix
GOLDTERMS:4328	Host-associated > Mollusca > Shell	skos:exactMatch	UBERON:0006612	shell	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	shell
GOLDTERMS:4333	Host-associated > Annelida > Reproductive system > Egg capsule	skos:exactMatch	UBERON:3010636	egg capsule	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	egg capsule
GOLDTERMS:4334	Host-associated > Annelida > Intracellular endosymbionts > Trophosome	skos:exactMatch	UBERON:0012644	trophosome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	trophosome
GOLDTERMS:4416	Host-associated > Human > Circulatory system > Blood > Plasma	skos:exactMatch	UBERON:0001969	blood plasma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasBroadSynonym	plasma
GOLDTERMS:4422	Host-associated > Fish > Skin > Epidermal mucus	skos:exactMatch	UBERON:0010152	skin mucus	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	epidermal mucus
