#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-06-14"
#curie_map:
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  PO: "http://purl.obolibrary.org/obo/PO_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  dcterms: "http://purl.org/dc/terms/"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  gold.path: "https://w3id.org/gold.path/"
#  gold.vocab: "https://w3id.org/gold.vocab/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
#  rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#  schema: "http://schema.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  xsd: "http://www.w3.org/2001/XMLSchema#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
gold.vocab:Photobioreactor	Photobioreactor	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Mycelium	Mycelium	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Petrochemical	Petrochemical	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Epiphytes	Epiphytes	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Desert-springs	Desert springs	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Environmental	.	.	.	no match found
gold.vocab:Extracellular	Extracellular	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Endosphere	Endosphere	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Periprosthetic-joint	Periprosthetic joint	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Fermented-meat-products	Fermented meat products	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Abyssal-plane	Abyssal plane	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Environmental	.	.	.	no match found
gold.vocab:Passive-bioreactor	Passive bioreactor	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Fermented-dairy-products	Fermented dairy products	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Ice-accretions	Ice accretions	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Environmental	.	.	.	no match found
gold.vocab:Hydrocarbon	Hydrocarbon	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Tobacco-product	Tobacco product	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Green-algae	Green algae	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Acid-mine-drainage-material	Acid mine drainage material	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Stem-tuber	Stem tuber	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Bioremediation	Bioremediation	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Nematoda	Nematoda	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Tropical-rainforest	Tropical rainforest	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Environmental	.	.	.	no match found
gold.vocab:Ectosymbionts	Ectosymbionts	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Cave-water	Cave water	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Environmental	.	.	.	no match found
gold.vocab:Marine	Marine	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Environmental	.	.	.	no match found
gold.vocab:Protists	Protists	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Bugs	Bugs	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Pulp-and-paper-wastewater	Pulp and paper wastewater	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Intracellular	Intracellular	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Invertebrates	Invertebrates	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Sugarcane-filter-cake	Sugarcane filter cake	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Biological-phosphorus-removal	Biological phosphorus removal	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Lobster	Lobster	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Host-associated	.	.	.	no match found
gold.vocab:Ice-cream	Ice cream	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
gold.vocab:Benzene	Benzene	noMatch	:NO_MATCH	.	Lexical	gold.vocab	-	rdf_matcher	0.5	.	.	gold.path:Engineered	.	.	.	no match found
