	ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	ENV_BROAD_SCALE_LABEL	ENV_LOCAL_SCALE_LABEL	ENV_MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT
0	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	2754
1	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	1496
2	Environmental	Air	Outdoor Air	Unclassified	Unclassified		atmospheric layer	air		ENVO_01000543	ENVO_00002005	1117
3	Environmental	Aquatic	Marine	Inlet	Unclassified	marine biome	coastal inlet	sea water	ENVO_00000447	ENVO_00000137	ENVO_00002149	1104
4	Environmental	Aquatic	Marine	Epipelagic	Unclassified	oceanic epipelagic zone biome		sea water	ENVO_01000035		ENVO_00002149	1016
5	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	785
6	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	coastal water body	coastal sea water	ENVO_00000447	ENVO_02000049	ENVO_00002150	677
7	Environmental	Aquatic	Freshwater	River	Unclassified	freshwater river biome	river	river water	ENVO_01000253	ENVO_00000022	ENVO_01000599	644
8	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	terrestrial biome	agricultural field	agricultural soil	ENVO_00000446	ENVO_00000114	ENVO_00002259	612
9	Environmental	Terrestrial	Peat	Unclassified	Unclassified	terrestrial biome	peatland	peat soil	ENVO_00000446	ENVO_00000044	ENVO_00005774	512
10	Environmental	Terrestrial	Plant litter	Unclassified	Unclassified	grassland biome	litter layer	plant litter	ENVO_01000177	ENVO_01000338	ENVO_01000628	505
11	Environmental	Aquatic	Freshwater	Lake	Unclassified							426
12	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	pedosphere	soil	ENVO_00000446	ENVO_01000820	ENVO_00001998	368
13	Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	311
14	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	forest floor	forest soil	ENVO_01000174	ENVO_01001582	ENVO_00002261	310
15	Environmental	Aquatic	Freshwater	Ice	Glacial lake	freshwater lake biome	ice-covered lake	microbial mat	ENVO_01000252	ENVO_00000198	ENVO_01000008	306
16	Environmental	Terrestrial	Soil	Unclassified	Unclassified							273
17	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	deep chlorophyll maximum layer	sea water	ENVO_00000447	ENVO_01000326	ENVO_00002149	255
18	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Microbial mats	aquatic biome	hot spring	microbial mat	ENVO_00002030	ENVO_00000051	ENVO_01000008	243
19	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	aquatic biome		liquid water	ENVO_00002030		ENVO_00002006	232
20	Environmental	Aquatic	Marine	Hydrothermal vents	Diffuse flow	marine hydrothermal vent biome	marine hydrothermal vent	hydrothermal fluid	ENVO_01000030	ENVO_01000122	ENVO_01000134	229
21	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	subpolar coniferous forest biome	solid layer	forest soil	ENVO_01000250	ENVO_01001275	ENVO_00002261	212
22	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome	saline lake	saline water	ENVO_00002030	ENVO_00000019	ENVO_00002010	191
23	Environmental	Aquatic	Marine	Harbor	Unclassified	marine biome	harbor	sea water	ENVO_00000447	ENVO_00000463	ENVO_00002149	186
24	Environmental	Aquatic	Marine	Intertidal zone	Estuary	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	182
25	Environmental	Aquatic	Freshwater	Sediment	Unclassified	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	180
26	Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	lake	lake sediment	ENVO_01000252	ENVO_00000020	ENVO_00000546	173
27	Environmental	Aquatic	Freshwater	Lake	Epilimnion	freshwater lake biome	epilimnion	lake water	ENVO_01000252	ENVO_00002131	ENVO_04000007	167
28	Environmental	Terrestrial	Soil	Unclassified	Agricultural	terrestrial biome	agricultural field	agricultural soil	ENVO_00000446	ENVO_00000114	ENVO_00002259	165
29	Environmental	Aquatic	Marine	Intertidal zone	Unclassified	marine biome	coastal inlet	sea water	ENVO_00000447	ENVO_00000137	ENVO_00002149	163
30	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	land	forest soil	ENVO_01000174	ENVO_01001785	ENVO_00002261	155
31	Environmental	Aquatic	Marine	Pelagic	Unclassified	marine biome	marine pelagic zone	sea water	ENVO_00000447	ENVO_00000208	ENVO_00002149	152
32	Environmental	Terrestrial	Soil	Wetlands	Unclassified	terrestrial biome	wetland area	soil	ENVO_00000446	ENVO_00000043	ENVO_00001998	152
33	Environmental	Terrestrial	Soil	Unclassified	Grasslands	grassland biome	biosphere reserve	grassland soil	ENVO_01000177	ENVO_00000376	ENVO_00005750	151
34	Environmental	Terrestrial	Floodplain	Soil	Unclassified	terrestrial biome	flood plain	soil	ENVO_00000446	ENVO_00000255	ENVO_00001998	144
35	Environmental	Aquatic	Marine	Intertidal zone	Coral reef	marine coral reef biome	coral reef	sea water	ENVO_01000049	ENVO_00000150	ENVO_00002149	142
36	Environmental	Terrestrial	Soil	Unclassified	Grasslands							138
37	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	agricultural field	agricultural soil	ENVO_00000446	ENVO_00000114	ENVO_00002259	136
38	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	land	soil	ENVO_00000446	ENVO_01001785	ENVO_00001998	127
39	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine salt marsh biome	saline marsh		ENVO_01000022	ENVO_00000054		126
40	Environmental	Terrestrial	Peat	Unclassified	Unclassified	forest biome	peatland	peat soil	ENVO_01000174	ENVO_00000044	ENVO_00005774	126
41	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	research facility	soil	ENVO_00000446	ENVO_00000469	ENVO_00001998	120
42	Environmental	Aquatic	Marine	Coastal	Sediment	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	117
43	Environmental	Air	Indoor Air	Dust	Unclassified	anthropogenic terrestrial biome	sports facility	dust	ENVO_01000219	ENVO_00000565	ENVO_00002008	116
44	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	terrestrial biome	agricultural field	bulk soil	ENVO_00000446	ENVO_00000114	ENVO_00005802	115
