ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	count_prop	sum_gp	proportion_gp	sum_mixs	proportion_mixs	interest
Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	2754.0	Environmental_Aquatic_Marine_Unclassified_Unclassified	marine biome_marine water body_sea water	1.0	3435.0	0.8017467248908297	4307.0	0.639424193173903	0.5126562526931379
Environmental	Air	Outdoor Air	Unclassified	Unclassified		atmospheric layer	air		ENVO_01000543	ENVO_00002005	1117.0	Environmental_Air_Outdoor Air_Unclassified_Unclassified	_atmospheric layer_air	0.4055918663761801	1147.0	0.97384481255449	1117.0	1.0	0.3949835350847369
Environmental	Aquatic	Marine	Epipelagic	Unclassified	oceanic epipelagic zone biome		sea water	ENVO_01000035		ENVO_00002149	1016.0	Environmental_Aquatic_Marine_Epipelagic_Unclassified	oceanic epipelagic zone biome__sea water	0.36891793754538854	1016.0	1.0	1016.0	1.0	0.36891793754538854
Environmental	Aquatic	Marine	Inlet	Unclassified	marine biome	coastal inlet	sea water	ENVO_00000447	ENVO_00000137	ENVO_00002149	1104.0	Environmental_Aquatic_Marine_Inlet_Unclassified	marine biome_coastal inlet_sea water	0.4008714596949891	1122.0	0.983957219251337	1292.0	0.8544891640866873	0.3370450192736929
Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	coastal water body	coastal sea water	ENVO_00000447	ENVO_02000049	ENVO_00002150	677.0	Environmental_Aquatic_Marine_Coastal_Unclassified	marine biome_coastal water body_coastal sea water	0.2458242556281772	877.0	0.7719498289623717	700.0	0.9671428571428572	0.18352888948983032
Environmental	Aquatic	Freshwater	River	Unclassified	freshwater river biome	river	river water	ENVO_01000253	ENVO_00000022	ENVO_01000599	644.0	Environmental_Aquatic_Freshwater_River_Unclassified	freshwater river biome_river_river water	0.23384168482207698	866.0	0.74364896073903	651.0	0.989247311827957	0.17202627507932178
Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	marine water body	sea water	ENVO_00000447	ENVO_00001999	ENVO_00002149	1496.0	Environmental_Aquatic_Marine_Oceanic_Unclassified	marine biome_marine water body_sea water	0.5432098765432098	1902.0	0.786540483701367	4307.0	0.3473415370327374	0.1484039499269314
Environmental	Terrestrial	Plant litter	Unclassified	Unclassified	grassland biome	litter layer	plant litter	ENVO_01000177	ENVO_01000338	ENVO_01000628	505.0	Environmental_Terrestrial_Plant litter_Unclassified_Unclassified	grassland biome_litter layer_plant litter	0.18336964415395787	655.0	0.7709923664122137	505.0	1.0	0.14137659587442553
Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	785.0	Environmental_Aquatic_Freshwater_Lake_Unclassified	freshwater lake biome_freshwater lake_lake water	0.285039941902687	1493.0	0.5257870060281313	850.0	0.9235294117647059	0.13840962783104158
Environmental	Terrestrial	Soil	Unclassified	Agricultural land	terrestrial biome	agricultural field	agricultural soil	ENVO_00000446	ENVO_00000114	ENVO_00002259	612.0	Environmental_Terrestrial_Soil_Unclassified_Agricultural land	terrestrial biome_agricultural field_agricultural soil	0.2222222222222222	803.0	0.7621419676214197	940.0	0.6510638297872341	0.11026734850692882
